,precision,recall,f1-score,support
Corn___Common_Rust,1.0,0.996078431372549,0.9980353634577603,255.0
Corn___Gray_Leaf_Spot,0.9565217391304348,0.6947368421052632,0.8048780487804879,95.0
Corn___Healthy,1.0,1.0,1.0,222.0
Corn___Northern_Leaf_Blight,0.8672566371681416,0.9849246231155779,0.9223529411764706,199.0
accuracy,0.9571984435797666,0.9571984435797666,0.9571984435797666,0.9571984435797666
macro avg,0.955944594074644,0.9189349741483475,0.9313165883536797,771.0
weighted avg,0.9603808508610265,0.9571984435797666,0.9552667543579674,771.0
