,precision,recall,f1-score,support
diseased cotton leaf,1.0,0.9534883720930233,0.9761904761904762,43.0
fresh cotton leaf,0.9705882352941176,1.0,0.9850746268656716,66.0
accuracy,0.981651376146789,0.981651376146789,0.981651376146789,0.981651376146789
macro avg,0.9852941176470589,0.9767441860465116,0.9806325515280738,109.0
weighted avg,0.9821910415542364,0.981651376146789,0.9815698701772919,109.0
