,precision,recall,f1-score,support
Healthy,0.9065420560747663,0.8584070796460177,0.8818181818181818,113.0
Mosaic,0.7934782608695652,0.8488372093023255,0.8202247191011236,86.0
RedRot,0.7636363636363637,0.8936170212765957,0.8235294117647058,94.0
Rust,0.968421052631579,0.8846153846153846,0.9246231155778895,104.0
Yellow,0.7920792079207921,0.7407407407407407,0.7655502392344498,108.0
accuracy,0.8435643564356435,0.8435643564356435,0.8435643564356435,0.8435643564356435
macro avg,0.8448313882266133,0.8452434871162129,0.8431491334992701,505.0
weighted avg,0.8489515740241171,0.8435643564356435,0.8444292573296132,505.0
